id1	id2	reg	chr1	loc1	chr2	loc2
YJL127C	YHR203C	+	10	183259	8	505003
YBR083W	YAR009C	+	2	409899	1	162392
YBR049C	YDR050C	binding enriched	2	335602	4	556099
YDR392W	YJR028W	+	4	1259202	10	479005
YHL020C	YHR018C	-	8	66849	8	140706
YPR086W	YDL110C	binding enriched	16	710619	4	264738
YLR098C	YLR157W-E	binding enriched	12	338500	12	481955
YDR259C	YJL034W	binding enriched	4	975206	10	382351
YIL101C	YJR059W	binding enriched	9	176278	10	547015
YNL103W	YMR037C	?	14	428744	13	345460
YIL131C	YGR013W	binding enriched	9	101508	7	515485
YEL009C	YLR279W	?	5	139340	12	704503
YDR448W	YGL062W	binding enriched	4	1356717	7	386964
YPL075W	YKL096W-A	+	16	413808	11	259392
YDR207C	YER064C	binding enriched	4	866267	5	283463
YGR252W	YBR070C	binding enriched	7	997528	2	379577
YLR451W	YER157W	binding enriched	12	1037423	5	485990
YDR259C	YOR141C	+	4	975206	15	591264
YDR392W	YMR027W	binding enriched	4	1259202	13	326583
YBR083W	YHR152W	+	2	409899	8	401694
YOR028C	YLR266C	binding enriched	15	383976	12	676671
YDR310C	YNL318C	-	4	1082722	14	39518
YDR207C	YER056C	binding enriched	4	866267	5	267312
YGR252W	YDL080C	binding enriched	7	997528	4	311556
YIL101C	YKR058W	binding enriched	9	176278	11	553695
YPR133C	YDR155C	binding enriched	16	796594	4	768756
YNL236W	YOR321W	+	14	208392	15	917160
YML007W	YIR017C	binding enriched	13	254824	9	383837
YGL073W	YIL117C	+	7	370003	9	141091
YOR110W	YFR049W	binding enriched	15	529594	6	248708
YNL257C	YCR021C	+	14	162475	3	156608
YCR084C	YPL231W	+	3	261381	16	111483
YBR081C	YPR154W	binding enriched	2	403252	16	834888
YOR344C	YIL082W	+	15	977631	9	206071
YNL216W	YCL040W	+	14	242930	3	51589
YBR240C	YOL078W	-	2	701166	15	183447
YGL073W	YGR155W	+	7	370003	7	799304
YPR086W	YOL155C	binding enriched	16	710619	15	30154
YIR018W	YOR178C	?	9	384977	15	669050
YER159C	YMR090W	binding enriched	5	491744	13	449586
YLR403W	YOR071C	-	12	926593	15	460378
YER111C	YNL320W	binding enriched	5	384235	14	38127
YDR169C	YNL242W	+	4	793118	14	193713
YDL005C	YNR037C	binding enriched	4	441661	14	695189
YLR403W	YCR072C	?	12	926593	3	241578
YOR110W	YJL143W	binding enriched	15	529594	10	147339
YML007W	YLR097C	binding enriched	13	254824	12	336748
YDR423C	YML052W	+	4	1318660	13	170856
YLR403W	YDL052C	?	12	926593	4	363127
YNL236W	YKL080W	+	14	208392	11	285619
YCR084C	YGR161C	binding enriched	3	261381	7	809024
YDL005C	YOR394C-A	binding enriched	4	441661	15	1084285
YKR099W	YBL005W-B	-	11	637068	2	223964
YIL101C	YJR005C-A	binding enriched	9	176278	10	448617
YOL148C	YJR028W	+	15	46667	10	479005
YGL073W	YGR250C	+	7	370003	7	992348
YDR259C	YFR023W	binding enriched	4	975206	6	200791
YDL170W	YGR075C	binding enriched	4	157111	7	636511
YML007W	YNL237W	-	13	254824	14	205877
YGL071W	YGL055W	-	7	373048	7	399394
YDL170W	YBR221W-A	binding enriched	4	157111	2	666590
YDL005C	YIL145C	binding enriched	4	441661	9	76818
YGR252W	YAL025C	binding enriched	7	997528	1	100685
YDR463W	YLR162W	-	4	1387595	12	489751
YIL131C	YLR247C	binding enriched	9	101508	12	631019
YCR084C	YDR385W	+	3	261381	4	1244494
YNL216W	YMR186W	+	14	242930	13	633413
YLR403W	YMR077C	-	12	926593	13	421816
YOR028C	YDL175C	+	15	383976	4	145001
YCR084C	YJR147W	+	3	261381	10	704734
YLR403W	YDR064W	+	12	926593	4	579955
YER040W	YKL170W	binding enriched	5	230891	11	130842
YOL148C	YDL136W	+	15	46667	4	217983
YDR259C	YPL098C	binding enriched	4	975206	16	364556
YML007W	YBR188C	binding enriched	13	254824	2	603896
YOR032C	YOR160W	+	15	390423	15	635298
YKR099W	YCL030C	+	11	637068	3	67133
YDL170W	YIL052C	binding enriched	4	157111	9	256644
YDR392W	YDR173C	binding enriched	4	1259202	4	811098
YIR018W	YPL192C	?	9	384977	16	182855
YIR018W	YHR136C	-	9	384977	8	374877
YPR086W	YMR084W	binding enriched	16	710619	13	437022
YOR174W	YGL010W	binding enriched	15	659174	7	475807
YPL075W	YDL126C	+	16	413808	4	237410
YNL103W	YOR085W	?	14	428744	15	482559
YBR240C	YJR004C	-	2	701166	10	443885
YLR403W	YLR312W-A	?	12	926593	12	759860
YNL216W	YER156C	+	14	242930	5	483833
YOR110W	YEL073C	binding enriched	15	529594	5	7391
YOR028C	YKL177W	+	15	383976	11	114525
YMR182C	YLR178C	-	13	624849	12	513491
YJR127C	YOR010C	binding enriched	10	660988	15	346572
YPR104C	YDL075W	binding enriched	16	735028	4	322607
YOR344C	YDR365W-B	+	15	977631	4	1209631
YDR146C	YIL116W	binding enriched	4	749677	9	143506
YOR110W	YDL063C	binding enriched	15	529594	4	339203
YNL216W	YML128C	-	14	242930	13	15905
YBR083W	YLR042C	+	2	409899	12	230208
YNL216W	YPR044C	+	14	242930	16	654700
YPR086W	YMR175W	binding enriched	16	710619	13	611135
YIL101C	YOR130C	binding enriched	9	176278	15	570368
YPR086W	YNL008C	binding enriched	16	710619	14	617226
YIL131C	YBR074W	binding enriched	9	101508	2	387751
YBR112C	YJL077C	binding enriched	2	464320	10	294863
YDR463W	YNL193W	binding enriched	4	1387595	14	275206
YDR259C	YPL085W	binding enriched	4	975206	16	390360
YNL236W	YDR210W-A	+	14	208392	4	872770
YNL216W	YHL015W	+	14	242930	8	75594
YPR086W	YKL162C	binding enriched	16	710619	11	148234
YDL005C	YGL221C	binding enriched	4	441661	7	81859
YPR086W	YDL238C	binding enriched	16	710619	4	29719
YLR403W	YPR112C	?	12	926593	16	750587
YPL075W	YKL192C	+	16	413808	11	80348
YLR403W	YEL040W	-	12	926593	5	78754
YPL075W	YJR117W	+	16	413808	10	642687
YLR176C	YML028W	binding enriched	12	509014	13	220433
YOR110W	YOR108W	binding enriched	15	529594	15	523934
YJL127C	YCR098C	?	10	183259	3	297827
YIL036W	YDR098C-A	+	9	286547	4	650465
YOR174W	YHR007C-A	binding enriched	15	659174	8	122657
YDL005C	YNL097C	binding enriched	4	441661	14	441862
YIL036W	YPL145C	+	9	286547	16	279047
YOL004W	YEL065W	-	15	319243	5	28600
YDR423C	YGL011C	-	4	1318660	7	474868
YOR174W	YGR267C	binding enriched	15	659174	7	1025369
YCR084C	YGL245W	+	3	261381	7	40086
YGR104C	YGR279C	binding enriched	7	697906	7	1049378
YDR463W	YLR095C	binding enriched	4	1387595	12	330896
YOR110W	YLL056C	binding enriched	15	529594	12	27857
YGL073W	YOR277C	+	7	370003	15	841669
YDL005C	YOL039W	binding enriched	4	441661	15	254457
YDL020C	YFL014W	-	4	415910	6	107420
YIL101C	YMR161W	binding enriched	9	176278	13	578055
YDL005C	YDR034C	binding enriched	4	441661	4	510923
YNL236W	YLL010C	+	14	208392	12	129971
YIL131C	YPR183W	binding enriched	9	101508	16	901156
YNL330C	YNL298W	binding enriched	14	18651	14	70179
YNL216W	YLR249W	+	14	242930	12	638347
YBR049C	YGL040C	binding enriched	2	335602	7	420041
YOR174W	YLR017W	binding enriched	15	659174	12	178114
YCR081W	YNL055C	-	3	256512	14	518419
YMR037C	YJL158C	binding enriched	13	345460	10	122606
YGR252W	YBR273C	binding enriched	7	997528	2	748716
YDR392W	YBL074C	binding enriched	4	1259202	2	87255
YDL005C	YJL216C	binding enriched	4	441661	10	25213
YLR176C	YML116W	binding enriched	12	509014	13	39010
YIL101C	YHR197W	binding enriched	9	176278	8	495041
YDL005C	YLR120C	binding enriched	4	441661	12	387365
YDR123C	YPL041C	binding enriched	4	699011	16	475429
YDR253C	YLR281C	bound	4	964277	12	704726
YDR463W	YLR318W	binding enriched	4	1387595	12	767869
YJL127C	YLR339C	+	10	183259	12	806059
YOR174W	YKR088C	binding enriched	15	659174	11	604911
YPR104C	YAL039C	binding enriched	16	735028	1	69120
YPL075W	YBR143C	+	16	413808	2	531525
YDR253C	YNL014W	bound	4	964277	14	607886
YER040W	YBR274W	binding enriched	5	230891	2	750385
YDR207C	YML101C	binding enriched	4	866267	13	69911
YOL148C	YMR046W-A	+	15	46667	13	362766
YPL254W	YLR441C	+	16	70218	12	1018524
YOR174W	YNL255C	binding enriched	15	659174	14	167559
YDR463W	YMR255W	binding enriched	4	1387595	13	778284
YHR058C	YOL005C	binding enriched	8	219440	15	315994
YDR123C	YER021W	binding enriched	4	699011	5	197733
YNL103W	YDR040C	?	14	428744	4	536829
YGR252W	YPR054W	binding enriched	7	997528	16	666863
YNL216W	YEL073C	binding enriched	14	242930	5	7391
YOR344C	YMR046C	+	15	977631	13	361966
YDL005C	YNR015W	binding enriched	4	441661	14	653964
YCR084C	YML058W-A	-	3	261381	13	158863
YGL073W	YHR216W	+	7	370003	8	555181
YMR042W	YCL040W	-	13	352869	3	51589
YDL005C	YHL029C	binding enriched	4	441661	8	46948
YDR392W	YPL232W	binding enriched	4	1259202	16	107711
YIL101C	YJL050W	binding enriched	9	176278	10	344132
YIL131C	YKL146W	binding enriched	9	101508	11	172822
YNL199C	YDL021W	-	14	265728	4	414420
YGR252W	YCR102C	binding enriched	7	997528	3	304914
YDR392W	YDR510W	binding enriched	4	1259202	4	1469552
YIL131C	YLR285C-A	binding enriched	9	101508	12	708253
YCR084C	YHR214C-B	+	3	261381	8	546655
YLR176C	YDR464W	binding enriched	12	509014	4	1391025
YLR403W	YDL070W	-	12	926593	4	331982
YLR098C	YFR015C	-	12	338500	6	175328
YIL131C	YCR071C	binding enriched	9	101508	3	240323
YBR083W	YGR161W-A	+	2	409899	7	812396
YER111C	YDR046C	binding enriched	5	384235	4	549669
YEL009C	YAR064W	?	5	139340	1	220347
YLR403W	YKL178C	?	12	926593	11	113921
YGR252W	YDR037W	binding enriched	7	997528	4	526327
YIL101C	YOR195W	binding enriched	9	176278	15	714098
YJL056C	YGL258W	+	10	331752	7	11420
YIL101C	YKL222C	binding enriched	9	176278	11	4561
YNL103W	YNL191W	?	14	428744	14	280968
YNL330C	YGR279C	binding enriched	14	18651	7	1049378
YOR110W	YKL106W	binding enriched	15	529594	11	238213
YBR112C	YDR517W	binding enriched	2	464320	4	1477798
YGL073W	YIL053W	+	7	370003	9	255491
YOL148C	YHR137W	+	15	46667	8	376479
YML007W	YDL215C	binding enriched	13	254824	4	72279
YNL236W	YDR238C	+	14	208392	4	939355
YJL127C	YBL082C	?	10	183259	2	70439
YBR081C	YPL026C	binding enriched	2	403252	16	501429
YLR403W	YNL247W	?	12	926593	14	184026
YJL127C	YGL135W	+	10	183259	7	254967
YNL236W	YDR331W	+	14	208392	4	1130205
YML007W	YOR223W	binding enriched	13	254824	15	760221
YGL013C	YPR158C-C	-	7	470695	16	855596
YLR071C	YPL223C	binding enriched	12	277002	16	128885
YGR104C	YER104W	binding enriched	7	697906	5	367115
YML007W	YNL084C	-	13	254824	14	470577
YNL216W	YOR096W	+	14	242930	15	506280
YLR176C	YJL177W	binding enriched	12	509014	10	91221
YDR207C	YLR156C-A	binding enriched	4	866267	12	472544
YNL216W	YCR087C-A	+	14	242930	3	264236
YLR403W	YBR271W	?	12	926593	2	745481
YLR451W	YMR315W-A	binding enriched	12	1037423	13	904339
YLR176C	YNL095C	binding enriched	12	509014	14	445876
YPR104C	YNL036W	binding enriched	16	735028	14	560146
YPL075W	YKL191W	+	16	413808	11	81837
YNL236W	YPL049C	+	14	208392	16	463160
YPL075W	YMR243C	+	16	413808	13	755502
YLR403W	YLR270W	?	12	926593	12	681712
YGR116W	YHR138C	binding enriched	7	722586	8	377527
YGL035C	RDN25-1	-	7	432305	12	453483
YIL131C	YDL173W	binding enriched	9	101508	4	148634
YBR112C	YIL045W	binding enriched	2	464320	9	271969
YBR049C	YLR229C	binding enriched	2	335602	12	604499
YPL075W	YLR172C	+	16	413808	12	501711
YJL127C	YOR378W	?	10	183259	15	1050284
YLR071C	YDR380W	binding enriched	12	277002	4	1235171
YGR252W	YDR490C	binding enriched	7	997528	4	1433118
YLR176C	YHR190W	binding enriched	12	509014	8	485512
YJL127C	YOL143C	+	10	183259	15	54849
YLR403W	YDR351W	?	12	926593	4	1179963
YDL170W	YDL019C	binding enriched	4	157111	4	419588
YPL139C	YML107C	-	16	290360	13	55767
YIR018W	YJL218W	?	9	384977	10	22268
YGR252W	YJL166W	binding enriched	7	997528	10	106576
YER040W	YLR185W	-	5	230891	12	522975
YDR392W	YKL086W	binding enriched	4	1259202	11	278472
YLR403W	YCR087C-A	+	12	926593	3	264236
YGL013C	YPR190C	-	7	470695	16	918059
YIL036W	YIL078W	+	9	286547	9	213601
YIL131C	YNL074C	binding enriched	9	101508	14	487445
YGR252W	YKL150W	binding enriched	7	997528	11	166998
YHL020C	YOR034C	+	8	66849	15	395961
YIR018W	YBR076W	?	9	384977	2	390759
YGR252W	YDR158W	binding enriched	7	997528	4	770905
YBR049C	YMR202W	+	2	335602	13	667871
YDR392W	YHL007C	binding enriched	4	1259202	8	96527
YLR403W	YMR049C	+	12	926593	13	369305
YGR252W	YDR178W	binding enriched	7	997528	4	818222
YGR252W	YEL065W	binding enriched	7	997528	5	28600
YOR028C	YOR210W	-	15	383976	15	738426
YMR037C	YNL231C	binding enriched	13	345460	14	216514
YEL009C	YOR062C	?	5	139340	15	443128
YER159C	YGL062W	binding enriched	5	491744	7	386964
YDR392W	YHR071W	+	4	1259202	8	237348
YGR116W	YLL039C	binding enriched	7	722586	12	64634
YIL131C	YBR259W	binding enriched	9	101508	2	731420
YBR049C	YDL072C	binding enriched	2	335602	4	330141
YKL112W	YML040W	+	11	227667	13	197289
YNL236W	YBR066C	-	14	208392	2	370368
YFL031W	YLR214W	+	6	75663	12	569597
YDR463W	YDL176W	binding enriched	4	1387595	4	143160
YMR037C	YMR316W	+	13	345460	13	905330
YNL236W	YDR261C-C	+	14	208392	4	991688
YIL131C	YAL026C	binding enriched	9	101508	1	97663
YIL101C	YOR145C	binding enriched	9	176278	15	605759
YJL127C	YBR191W	+	10	183259	2	606705
YDR463W	YDL023C	+	4	1387595	4	411921
YPR086W	YGR008C	binding enriched	16	710619	7	508237
YPR086W	YBL101C	binding enriched	16	710619	2	26622
YDR392W	YDR249C	binding enriched	4	1259202	4	959241
YLR071C	YNL178W	binding enriched	12	277002	14	303041
YBR049C	YJL076W	binding enriched	2	335602	10	297029
YER111C	YLR467W	-	5	384235	12	1075203
YLR403W	YCR089W	-	12	926593	3	269848
YNL216W	YMR027W	+	14	242930	13	326583
YJL127C	YPL257W-A	-	10	183259	16	57409
YDR392W	YKL063C	binding enriched	4	1259202	11	321266
YPL075W	YPR074C	+	16	413808	16	693817
YIL131C	YOR166C	binding enriched	9	101508	15	647814
YDL005C	YJL126W	binding enriched	4	441661	10	184962
YDR207C	YIR037W	-	4	866267	9	423373
YDR259C	YLR096W	binding enriched	4	975206	12	334311
YNL216W	YHR174W	+	14	242930	8	451983
YJL127C	YMR244W	?	10	183259	13	757783
YGR252W	YPL015C	binding enriched	7	997528	16	526346
YLR176C	YJL004C	binding enriched	12	509014	10	431894
YJL056C	YGL256W	+	10	331752	7	15733
YIL036W	YOL016C	+	9	286547	15	295448
YPR086W	YKL052C	binding enriched	16	710619	11	340107
YHR206W	YGL062W	binding enriched	8	513666	7	386964
YPR086W	YKL094W	binding enriched	16	710619	11	263819
YDR207C	YKR009C	-	4	866267	11	455703
YLR403W	YOL082W	?	12	926593	15	169350
YCL055W	YLR303W	+	3	28432	12	733209
YOL148C	YER156C	+	15	46667	5	483833
YDR463W	YPR100W	binding enriched	4	1387595	16	730002
YDR259C	YER048W-A	binding enriched	4	975206	5	250860
YDR463W	YDR026C	binding enriched	4	1387595	4	493412
YLR098C	YGR027W-B	binding enriched	12	338500	7	538691
YNL216W	YJL137C	+	14	242930	10	155556
YCR084C	snR54	+	3	261381	13	163577
YDR397C	YGR211W	binding enriched	4	1266632	7	915971
YGR104C	YDR051C	binding enriched	7	697906	4	557558
YDR259C	YGL093W	binding enriched	4	975206	7	336262
YJL127C	YJL195C	?	10	183259	10	69591
YOR174W	YFL057C	binding enriched	15	659174	6	14534
YHL020C	YBR006W	-	8	66849	2	247756
YIR018W	YIL144W	?	9	384977	9	79111
YLR071C	YHR109W	binding enriched	12	277002	8	331188
YNL216W	YNL068C	binding enriched	14	242930	14	496995
YOL148C	YLR448W	+	15	46667	12	1029311
YHR058C	YKL195W	binding enriched	8	219440	11	76426
YIL101C	YNL186W	binding enriched	9	176278	14	290687
YDL170W	YJL158C	binding enriched	4	157111	10	122606
YDR259C	YDR080W	binding enriched	4	975206	4	605497
YOR174W	YLR204W	binding enriched	15	659174	12	552437
YIL101C	YGL175C	binding enriched	9	176278	7	173803
YDR207C	YHR079C-A	binding enriched	4	866267	8	262372
YGR104C	YBR173C	binding enriched	7	697906	2	581949
YNL199C	YLR410W-A	-	14	265728	12	942141
YDR463W	YBL033C	binding enriched	4	1387595	2	159174
YDR397C	YEL017C-A	binding enriched	4	1266632	5	122863
YPR086W	YPR040W	binding enriched	16	710619	16	647840
YIL131C	YNR030W	binding enriched	9	101508	14	679626
YIL131C	YCR060W	binding enriched	9	101508	3	224566
YPL075W	YOL039W	+	16	413808	15	254457
YDR207C	YBR126C	binding enriched	4	866267	2	489648
YJL056C	YNR071C	binding enriched	10	331752	14	770954
YDR392W	YBR196C	binding enriched	4	1259202	2	613068
YOL148C	YIR011C	+	15	46667	9	377766
YPL075W	YFL002W-B	-	16	413808	6	138862
YLR403W	YLL021W	?	12	926593	12	103147
YOL148C	YIL009W	+	15	46667	9	340386
YLR403W	YOR162C	-	12	926593	15	640776
YDR392W	YIL116W	binding enriched	4	1259202	9	143506
YDL005C	YIL114C	binding enriched	4	441661	9	149565
YBL008W	YNL160W	-	2	210914	14	337077
YHR058C	YGR058W	binding enriched	8	219440	7	606639
YOR110W	YOR098C	binding enriched	15	529594	15	509563
YNL216W	YMR096W	-	14	242930	13	458854
YPL254W	YOL014W	+	16	70218	15	299880
YJL127C	YDR210W-A	-	10	183259	4	872770
YBR049C	YIL147C	-	2	335602	9	71622
YNL068C	YDR153C	binding enriched	14	496995	4	767353
YIR018W	YDR293C	binding enriched	9	384977	4	1047516
YNL103W	YJR010W	?	14	428744	10	457006
YIL131C	YBL055C	binding enriched	9	101508	2	116201
YGL073W	YER036C	+	7	370003	5	224283
YLR403W	YDL021W	?	12	926593	4	414420
YDR207C	YNL030W	binding enriched	4	866267	14	576882
YDR207C	YPR158W	binding enriched	4	866267	16	843641
YJL127C	YDR447C	+	10	183259	4	1355191
YBR049C	YLR114C	binding enriched	2	335602	12	376091
YLR418C	YNR074C	+	12	957504	14	778170
YGR252W	YPR133W-A	binding enriched	7	997528	16	797633
YML007W	YER069W	+	13	254824	5	296705
YOR174W	YOR009W	binding enriched	15	659174	15	345066
YGL073W	YOR293W	+	7	370003	15	867475
YNL216W	YGR254W	+	14	242930	7	1001583
YGL073W	YMR145C	+	7	370003	13	555634
YBR049C	YCR034W	+	2	335602	3	191113
YJL127C	YOR323C	+	10	183259	15	922220
YML007W	YML026C	binding enriched	13	254824	13	223407
YMR037C	YDR487C	binding enriched	13	345460	4	1428667
YIL101C	YPL248C	binding enriched	9	176278	16	81033
YOR110W	YER180C-A	binding enriched	15	529594	5	550993
YML007W	YGR209C	+	13	254824	7	913070
YGR252W	YGR244C	binding enriched	7	997528	7	978677
YDR392W	YKR013W	+	4	1259202	11	464453
YKL112W	YOR230W	+	11	227667	15	771456
YPR065W	YMR319C	-	16	680246	13	913709
YLR403W	YMR186W	?	12	926593	13	633413
YIL036W	YLR179C	+	9	286547	12	514410
YLR098C	YDR316W-B	binding enriched	12	338500	4	1098698
YML007W	YLL049W	binding enriched	13	254824	12	40935
YPR086W	YDR330W	binding enriched	16	710619	4	1128623
YDR259C	YMR305C	binding enriched	4	975206	13	879647
YHR058C	YNL300W	binding enriched	8	219440	14	65898
YNL216W	YLR379W	+	14	242930	12	877109
YCR084C	YML040W	+	3	261381	13	197289
YNL103W	YHR183W	?	14	428744	8	471694
YBR049C	YIL162W	+	2	335602	9	38184
YNL330C	YPR102C	binding enriched	14	18651	16	731486
YBR049C	YDL039C	binding enriched	2	335602	4	383033
YOR174W	YAL044W-A	binding enriched	15	659174	1	57684
YLR403W	YPL260W	-	12	926593	16	50130
YLR176C	YDR347W	binding enriched	12	509014	4	1169660
YGL073W	YMR108W	+	7	370003	13	485115
YOL108C	YNL156C	binding enriched	15	111658	14	341518
YNL236W	YAL038W	+	14	208392	1	72537
YLR403W	YER173W	-	12	926593	5	537289
YPR052C	YER104W	binding enriched	16	665833	5	367115
YJL127C	YOL119C	?	10	183259	15	95608
YDR423C	YBR157C	+	4	1318660	2	553926
YIL101C	YPL056C	binding enriched	9	176278	16	453582
YOR174W	YDL038C	binding enriched	15	659174	4	383202
YLR176C	YNL274C	binding enriched	12	509014	14	121644
YGR252W	YGL246C	binding enriched	7	997528	7	38198
YIR018W	YGL094C	binding enriched	9	384977	7	332791
YNL103W	YAR035W	?	14	428744	1	191224
YBR049C	YBL105C	binding enriched	2	335602	2	15968
YLR403W	YCR097W-A	-	12	926593	3	294572
YIL131C	YAR023C	binding enriched	9	101508	1	179550
YPL075W	YLR441C	+	16	413808	12	1018524
YHR041C	YIL051C	+	8	189497	9	258061
YHL027W	YMR319C	+	8	52049	13	913709
YEL009C	YML012C-A	?	5	139340	13	245725
YLR176C	YMR298W	binding enriched	12	509014	13	864045
YDR463W	YMR018W	binding enriched	4	1387595	13	310980
YPL254W	YJL158C	+	16	70218	10	122606
YER159C	YDL046W	binding enriched	5	491744	4	371500
YIL101C	YLL018C	binding enriched	9	176278	12	110738
YIL101C	YAL065C	binding enriched	9	176278	1	11758
YJL056C	YBR048W	binding enriched	10	331752	2	333321
YIL036W	YNL284C-A	+	9	286547	14	101571
YNL216W	YCL009C	+	14	242930	3	105083
YOR110W	YDL202W	binding enriched	15	529594	4	98849
YPL177C	YLR214W	+	16	213502	12	569597
YPR104C	YBL027W	binding enriched	16	735028	2	168899
YOR110W	YGL172W	binding enriched	15	529594	7	181409
YMR042W	YOR150W	+	13	352869	15	612244
YOL148C	YAL003W	+	15	46667	1	142667
YNL216W	YBR196C	+	14	242930	2	613068
YPR133C	YKR031C	binding enriched	16	796594	11	503869
YPL075W	YEL037C	+	16	413808	5	82005
YEL009C	YOR383C	-	5	139340	15	1060748
YBR083W	YAL007C	+	2	409899	1	138021
