id	x	y	z
YOR080W	79.271	31.63	53.573
YPL060C-A	166.743	84.551	74.966
YGL062W	86.286	113.113	91.163
YNL229C	74.502	50.023	77.907
YER169W	62.732	88.196	107.428
YOL016C	106.738	77.475	26.964
YOR226C	62.1	16.05	95.991
YEL025C	80.787	123.396	42.473
YNL186W	81.737	52.54	88.738
YMR040W	147.425	54.1	55.129
YDR077W	137.581	34.808	74.282
YBL063W	122.051	112.61	94.179
YMR146C	165.037	48.402	102.215
YHR214C-C	152.14	131.709	119.192
YHR214C-B	151.188	130.46	118.386
YHR214C-E	153.572	133.549	120.379
YHR214C-D	153.333	133.245	120.183
YKR064W	130.287	39.998	28.766
YCR060W	141.113	108.544	88.763
YPL089C	158.736	75.329	93.099
YBR016W	126.675	108.018	54.481
YDL139C	114.866	21.972	73.212
YDR246W	126.604	22.977	110.316
YOR288C	64.71	34.73	106.811
YDL247W-A	78.518	36.166	89.192
YDL240C-A	91.359	34.488	89.623
YCR028C	130.065	104.202	60.751
YCLX02C	129.072	117.911	56.642
YHR165W-A	135.061	106.04	90.845
YML054C	168.687	72.723	61.473
YHR089C	153.413	87.738	89.135
YMR168C	163.035	43.584	109.311
YJR028W	74.345	72.805	28.228
YLL035W	93.369	118.306	58.527
YCR006C	130.598	119.036	32.68
YER007W	90.376	120.07	26.481
YOR141C	79.059	18.722	71.502
YPL280W	154.587	87.655	121.622
YBL106C	109.152	128.495	100.793
YGL044C	78.779	119.282	76.864
YER107C	91.397	81.97	100.651
YBR038W	151.831	111.825	80.616
YJR011C	82.421	80.848	19.398
YDR117C	149.129	24.992	83.603
YJL021C	93.92	87.807	24.688
YER076W-A	67.771	92.841	100.513
YGR259C	90.028	91.744	137.806
YEL047C	78.059	121.809	56.807
YKL093W	107.852	32.235	45.587
YPR016C	145.335	80.928	35.763
YLR037C	73.535	119.998	68.461
tT(CGU)K	105.812	34.204	76.918
YLR157C	94.391	119.907	156.113
YDL055C	129.54	46.575	58.853
YBL020W	120.498	104.162	57.567
YEL043W	79.447	118.567	53.86
YML009C	137.727	99.59	31.844
YML072C	164.996	73.188	69.023
YDR142C	129.666	30.006	96.75
YFL044C	114.961	81.935	47.037
YBL113W-A	106.366	132.803	104.653
YKL019W	127.38	73.215	22.286
YJL130C	58.612	80.345	75.214
YJL078C	59.809	73.678	54.935
YNL173C	84.063	57.976	93.095
YBL085W	123.321	116.013	103.568
YGR200C	104.693	76.273	120.137
YBR116C	144.728	95.217	116.863
YIL021C-A	109.633	121.15	41.61
YLR302C	99.154	105.053	199.286
YKL031W	125.306	59.405	23.619
YIL127C	100.75	90.703	91.587
YDR082W	131.953	37.439	79.766
YLR067C	99.526	123.823	81.502
YDR348C	118.811	16.809	127.867
YER044C-A	74.507	96.345	68.361
YKL182W	103.056	15.261	60.841
YKL165C-A	97.928	32.468	61.297
YDR445C	104.5	25.203	120.323
YKL018C-A	127.251	73.611	22.459
YKL051W	117.727	46.054	40.764
YLR294C	98.57	109.337	198.193
YPL167C	130.979	64.902	100.857
YLR223C	103.905	121.44	190.164
YIR012W	114.906	114.138	27.574
YLR363C	108.472	100.635	198.472
YPR038W	150.955	59.08	58.441
YJL179W	38.458	49.722	82.448
YEL077W-A	84.475	133.681	76.539
YDR179C	154.063	18.325	104.255
YML089C	155.779	70.773	77.08
YLR431C	104.698	95.371	198.97
YKR046C	124.835	51.813	32.936
YGR204W	105.735	78.522	124.406
YJR005W	91.261	86.871	20.787
YBR200W-A	130.683	89.053	132.294
YBL098W	121.144	127.0	106.205
YDL095W	119.262	26.448	61.773
YMR030W	141.062	66.423	51.417
YER030W	88.1	97.112	55.209
YBR201C-A	131.304	89.843	132.617
YHR041C	148.336	99.786	67.936
YJR072C	78.417	63.125	52.427
YEL030C-A	79.184	121.289	45.693
YKR039W	126.347	52.935	29.731
YGL003C	117.268	119.271	35.432
YPL009C	131.502	91.379	27.182
YOR118W	86.028	18.56	61.563
YLR205C	105.018	124.772	185.635
YDR268W	125.844	18.445	115.065
YGL192W	73.757	81.064	123.661
YFL059W	108.151	56.143	52.177
YML094W	151.159	68.951	77.975
YKR006C	124.483	85.829	21.115
YDL117W	120.882	23.157	68.314
YMR131C	151.921	55.362	99.669
YJR054W	66.788	58.508	38.723
YLR362W	108.972	99.828	198.346
YMR293C	122.783	55.083	121.312
YPR138C	152.284	39.536	65.784
YJL214W	57.619	61.187	81.579
YIL005W	114.524	109.416	22.752
YIL105C	95.657	96.803	80.113
YDR146C	133.722	26.614	94.062
YNL119W	73.516	62.013	88.096
YML126C	124.057	65.939	82.616
YLR189C	91.694	125.251	183.283
YIL150C	78.187	109.833	99.021
YPR141C	153.166	37.032	62.8
YNR019W	77.427	104.019	30.238
YGR158C	110.397	115.654	134.19
YLR349W	110.12	101.516	197.917
YKL077W	105.791	39.72	41.122
YFR046C	115.361	69.937	27.536
YBR212W	124.031	98.649	137.687
YJR109C	85.408	68.854	70.09
YLR254C	86.133	120.544	186.427
YGR085C	103.499	117.867	108.884
YPL105C	162.064	66.284	98.264
YIL058W	96.136	126.444	82.43
YJR114W	82.177	65.976	68.779
YJR141W	80.258	54.224	69.347
YGR145W	103.982	104.045	128.233
YLR354C	112.555	102.549	196.856
YJR094C	83.526	66.528	61.322
tD(GUC)O	79.107	16.068	68.029
YKL177W	97.78	17.03	60.056
YLR301W	98.57	105.084	199.272
YGR098C	115.469	118.594	116.845
YGL154C	65.914	95.7	117.405
YAL009W	112.194	105.336	12.45
tK(UUU)P	158.869	47.111	63.742
tK(UUU)O	84.156	39.718	45.645
tX(XXX)D	123.317	15.985	135.244
tK(UUU)L	101.084	103.622	199.426
tK(UUU)K	132.917	45.334	32.49
YHR119W	156.153	87.343	94.032
YAL042C-A	96.934	65.243	12.003
YCRX10W	141.8	113.837	89.305
YDL215C	107.887	33.688	90.611
YGR167W	111.923	108.311	140.296
YJL059W	62.636	71.29	48.022
YKL099C	107.845	35.842	52.381
YDR315C	138.533	17.271	135.317
YBR134W	149.033	98.432	124.763
YBR161W	130.828	83.974	127.01
YNL002C	101.984	109.144	18.541
YLR394W	86.008	102.862	196.023
YNL104C	55.481	65.912	85.027
YPL145C	132.687	62.191	107.005
YIR041W	93.823	108.23	41.236
YIL118W	95.796	93.458	89.73
YNL151C	59.506	54.532	85.235
YPL190C	130.217	56.247	107.02
YNR066C	55.7	97.049	51.596
YGL214W	79.838	84.627	123.192
YHR006W	131.375	104.983	36.895
YAL026C-A	108.562	86.523	23.355
YGR018C	113.014	125.776	54.694
YMR232W	149.026	56.025	130.749
YFR005C	118.669	100.691	23.787
YNL083W	53.377	88.264	84.806
YPR147C	152.374	30.632	62.235
YOR267C	48.016	28.146	107.283
YGR038C-A	108.049	126.229	82.679
YGR038C-B	108.121	127.589	81.822
YHL036W	149.554	100.61	55.898
YDR457W	101.159	25.808	121.505
YOR367W	69.823	48.988	122.779
tR(UCU)B	128.427	93.082	100.558
YOR385W	68.289	56.271	125.57
YGR185C	101.496	94.621	133.72
YJL189W	40.421	45.109	81.625
YMR238W	143.374	57.425	126.655
YER168C	63.926	86.722	108.588
YPL265W	146.233	70.781	119.558
YOR227W	60.376	16.58	96.867
YOR081C	79.988	31.472	55.529
YEL026W	79.811	124.253	43.525
YGR050C	108.747	133.109	94.08
YLL050C	95.112	101.445	61.359
YDR392W	105.766	9.437	125.587
YGL172W	77.374	86.719	120.425
YNL274C	82.388	48.515	101.488
YDR021W	122.045	74.222	54.508
YGL063W	85.796	114.839	92.804
YPL212C	144.51	46.734	125.164
YMR005W	122.577	99.383	35.555
YPL023C	147.428	82.258	32.966
YCL020W	122.765	121.756	39.952
snR59	139.39	52.422	112.47
YOL157C	46.165	59.446	61.848
YGL149W	67.556	96.211	117.385
YPR095C	149.739	56.033	77.076
YOR310C	59.827	33.71	115.159
YHR024C	141.228	96.635	55.946
YOL131W	60.882	49.736	72.614
YDR188W	140.678	20.881	104.515
YAL027W	108.597	86.302	22.985
YGL236C	69.688	81.122	134.399
YHR133C	151.106	93.331	101.129
YDR017C	121.644	78.749	50.761
YOL080C	78.839	56.682	64.1
YAR061W	69.897	101.883	6.395
YOL037C	95.962	55.598	39.267
YOL117W	70.62	39.84	71.178
YNL054W-B	61.539	90.714	64.032
YNL054W-A	60.675	90.647	64.926
YBR283C	128.359	88.344	145.591
YIL090W	105.335	87.239	83.065
tG(GCC)O1	91.378	53.826	46.719
YML104C	140.925	65.019	81.819
YDR371C-A	111.109	15.248	136.291
YBR183W	129.19	89.372	128.195
YNR044W	58.288	93.299	36.108
YDR195W	142.792	17.239	105.948
YOL048C	95.302	53.606	41.358
YNL256W	61.894	41.455	95.521
YGR126W	104.296	97.617	117.18
YGR072W	106.259	124.61	110.186
YER106W	91.612	81.406	100.241
YDR347W	118.834	17.63	127.862
YML039W	154.45	79.41	54.621
YNL295W	69.277	38.722	97.96
YCR007C	131.309	118.35	35.602
YCR107W	149.637	124.654	81.682
YDR016C	122.274	79.795	49.835
YEL004W	98.769	118.563	25.678
YPR057W	152.898	56.41	62.9
YLL032C	96.161	119.43	56.36
YJL020C	93.566	88.182	23.489
YBR039W	152.933	111.685	82.558
YPR094W	148.626	56.106	77.242
YDR116C	147.726	25.138	84.598
YGR258C	90.603	89.854	138.456
YPL234C	147.249	65.229	126.962
YDL056W	129.33	47.981	59.764
YOR209C	75.796	23.795	98.799
YKL117W	103.847	29.275	56.561
YPR017C	144.924	80.811	36.369
YPL119C-A	156.334	59.752	110.353
YEL044W	78.845	119.819	54.507
YML071C	164.791	71.547	67.511
YHR130C	151.531	94.735	99.036
YLR030W	86.013	114.447	59.23
YDR122W	148.494	26.992	84.13
YER120W	76.937	88.492	114.781
YBR042C	153.448	111.221	86.378
YOL062C	81.019	48.808	41.992
YNL234W	70.933	46.799	72.876
YLR467W	90.726	92.101	197.127
YJL194W	40.766	47.4	85.64
YKR099C-A	131.051	48.519	44.42
YOL015W	107.536	79.449	27.695
YDR159W	148.315	21.192	97.198
YHR111W	155.854	84.705	91.657
YGL071W	85.825	113.461	97.428
YPR170W-B	140.769	37.2	80.349
YGR294W	82.886	105.393	151.471
YDL070W	140.543	40.784	64.229
YPR170W-A	140.769	37.2	80.349
YCR047C	135.541	106.369	81.142
YGL257C	83.872	77.667	116.512
YNL261W	67.901	44.339	101.405
YGL138C	70.199	92.465	112.598
YOR241W	65.972	30.188	103.791
YOR329W-A	57.4	36.716	120.755
YDL038C	123.51	59.917	53.09
YBR202W	132.486	91.328	133.332
YLR056W	87.355	120.953	80.521
YKL205W	105.604	31.857	79.057
YER033C	85.249	94.456	58.238
YPR039W	150.955	59.08	58.441
YKL110C	107.882	35.466	59.425
YML100W-A	141.526	67.318	77.882
YPR040W	150.547	58.838	59.052
YHR040W	147.868	99.419	67.431
YML057W	169.762	74.984	63.35
YDR178W	154.275	18.7	104.192
YKR038C	126.826	55.954	29.721
YLR432W	104.1	93.996	198.779
YJR004C	93.423	88.243	21.704
YIR027C	99.986	115.593	36.55
YDR071C	147.195	31.981	69.602
YJL115W	60.432	76.7	68.834
YJR073C	78.096	62.807	52.735
YGL004C	117.275	118.23	34.984
YLR204W	104.654	124.817	185.676
YKL158W	94.818	32.106	53.969
YKR007W	124.44	85.473	21.339
YDL096C	118.962	26.883	62.467
tK(CUU)E1	97.318	115.667	30.534
YBL068W-A	119.56	103.867	91.014
tK(CUU)E2	66.341	76.322	110.009
YBL099W	121.178	127.335	105.51
YMR132C	153.139	55.345	100.085
YPL008W	131.707	92.309	25.378
YOR126C	84.935	16.178	65.963
YDL116W	121.955	22.86	67.758
YMR046W-A	145.767	51.328	61.445
YLR435W	103.968	91.864	198.274
YOR119C	85.82	17.758	61.139
YIL047C-A	101.663	121.466	70.379
YLR409C	88.861	97.264	197.353
YNL187W	82.594	52.518	87.292
YMR141C	164.612	53.694	103.081
YMR101C	154.575	50.452	88.006
YBL062W	122.721	114.192	94.722
YPL088W	157.629	75.647	92.128
YJL046W	75.818	78.899	44.989
YMR041C	147.181	53.733	55.715
YLR078C	95.11	125.603	90.718
YMR267W	141.689	52.616	129.514
YDR078C	136.936	35.023	74.854
YCR061W	141.613	110.04	89.468
YMR109W	166.126	45.809	88.791
YOR199W	75.189	23.737	94.646
YDR232W	125.873	17.01	109.37
tI(AAU)P2	141.746	34.903	79.441
YDR245W	126.89	22.378	110.188
YHR088W	153.811	87.877	88.757
YGR276C	94.961	90.411	138.107
YBR017C	126.963	108.097	55.986
YKR014C	120.469	81.748	30.629
YDL138W	114.455	23.55	74.036
YCR029C	129.653	104.188	61.734
YOR289W	64.152	34.85	106.817
YPR162C	141.934	28.482	77.54
YLR178C	92.229	125.046	183.88
YHR175W	135.944	100.122	102.527
YGR166W	112.744	108.922	139.484
YDL161W	108.747	11.878	77.098
YKL050C	117.372	46.39	39.421
YOR013W	100.935	73.538	23.295
YPR079W	153.218	50.638	68.392
YDL212W	108.172	36.186	93.677
YJR055W	66.54	59.243	39.789
YGL099W	63.806	98.454	97.509
YFL030W	130.08	97.186	32.707
YIL119C	96.711	93.456	90.213
YNL150W	58.986	54.413	85.261
YPL193W	133.522	54.876	108.934
YNL105W	56.364	65.761	85.984
YNL005C	102.734	107.88	20.719
YLR412W	93.863	97.716	198.963
YGL217C	78.578	83.556	125.625
YDR314C	138.866	17.098	135.352
YJL144W	47.765	81.736	83.634
YBR012W-B	127.696	110.438	48.595
YBR012W-A	127.786	110.955	47.086
YPR105C	161.568	53.122	73.673
YKL098W	107.378	35.431	51.262
YJR139C	83.471	55.717	66.308
YBR133C	149.645	98.819	124.159
YBR162C	131.629	84.395	128.578
tE(UUC)L	117.757	97.662	193.728
YMR141W-A	164.956	53.188	103.065
tP(UGG)O2	82.754	34.089	48.891
YJL133W	59.006	80.491	81.217
YFL002W-B	122.396	104.981	21.298
YBL084C	123.692	113.94	102.239
YDR143C	129.993	29.509	96.154
YJL079C	59.276	73.4	55.411
YBR111C	147.502	102.083	114.933
YOL166W-A	54.673	64.755	60.531
YFL047W	112.85	80.397	48.594
YGR201C	105.014	76.571	121.171
YDR272W	123.377	20.305	114.852
YNL172W	82.684	58.094	92.154
YNL058C	60.121	89.542	67.283
YDL099W	118.797	28.477	64.245
YPL160W	130.879	60.908	103.135
YKL136W	101.46	32.206	63.468
YGR100W	118.314	118.195	117.749
YOL083C-A	82.859	56.41	73.611
YGR289C	86.408	102.967	150.267
YNL023C	80.102	99.118	26.952
YDR349C	119.177	15.259	128.31
YIR011C	115.634	114.253	27.257
YDR214W	124.382	29.369	107.718
YIL126W	101.309	90.344	91.47
YLR201C	102.831	124.942	185.91
YLR295C	98.57	109.337	198.193
YBL005W-A	123.818	113.553	31.89
YBL005W-B	123.193	112.988	30.964
YHR168W	135.002	103.94	93.267
YOR064C	86.229	41.317	50.732
YOL154W	46.797	59.147	59.154
YNL318C	62.947	21.191	109.979
tY(GUA)F2	125.314	71.781	9.25
YGL235W	69.369	81.201	134.683
tY(GUA)F1	117.188	96.91	25.263
YCL021W	122.327	120.521	40.052
YOL081W	80.335	58.12	67.843
YOL036W	95.703	55.346	38.79
YGL148W	68.348	95.711	116.743
YBR159W	129.55	83.207	124.752
YOR031W	94.59	57.541	40.784
YPR204C-A	152.579	32.775	74.439
YDR189W	139.852	21.116	104.703
YAL028W	108.643	85.602	21.848
YPR092W	147.709	55.951	76.89
YGL160W	72.018	86.343	112.372
YBR282W	127.847	88.583	146.111
YOR079C	78.961	31.932	52.342
YCL030C	122.852	115.634	46.6
YHR132C	150.693	93.588	100.637
YMR083W	142.414	44.399	74.432
YLR188W	91.561	125.663	182.468
YDR194C	142.303	18.35	105.935
YOL049W	94.911	53.262	41.731
YDR014W	124.262	81.332	48.384
YJR108W	85.476	69.79	69.864
YBR180W	128.875	86.813	125.512
snR68	88.806	99.929	89.824
YIL093C	104.898	85.351	81.251
YML007C-A	136.887	100.301	31.083
YNL297C	68.137	36.323	97.633
YGL019W	105.389	109.995	56.248
YKL076C	106.104	39.554	40.565
YDR466W	95.8	18.566	121.032
YNL331C	68.161	36.015	120.288
YLR397C	84.778	101.089	195.448
YIL009W	115.142	112.134	24.383
YPL054W	170.471	84.899	63.22
YFR045W	115.536	70.472	27.948
YDR194W-A	142.606	17.874	105.992
YIL151C	77.198	112.103	99.789
YIL002C	114.965	108.68	22.278
YGR159C	110.682	116.415	133.399
YBR213W	123.48	98.317	137.766
YPL102C	162.471	65.562	94.415
YLR255C	85.281	120.401	185.855
YFR032C	121.951	72.128	18.562
YNL118C	72.439	61.943	88.389
YPR031W	149.115	67.142	52.434
YGL228W	73.237	83.858	135.574
YJR117W	82.786	65.985	68.423
YGR144W	103.273	102.564	127.619
YGR111W	113.904	108.576	117.739
YGL155W	66.4	95.15	116.906
YBR196C-A	132.8	88.102	134.452
YBR196C-B	132.502	88.007	134.216
YHR021W-A	141.868	100.08	52.485
YIL030W-A	105.595	122.679	54.489
YLR357W	112.853	101.421	196.753
YCLX12W	130.453	125.843	26.702
YJR095W	80.967	68.067	60.034
YER127W	68.829	83.185	115.974
YOL063C	80.097	48.538	42.654
YLR324W	116.489	100.727	194.742
YDR118W-A	150.601	24.907	82.346
YLR466W	89.195	91.446	196.371
YJL193W	40.347	46.53	84.565
YJR140W-A	83.205	55.291	66.621
YBL015W	120.591	103.375	49.83
YEL027W	79.529	124.336	43.899
YOL014W	108.246	80.94	28.383
YDR123C	146.793	27.795	85.336
YHR110W	155.106	84.594	91.898
YBR041W	153.553	111.381	85.25
YNL235C	70.471	46.381	72.753
tD(GUC)I2	115.143	112.336	26.858
tD(GUC)I1	112.684	114.591	34.983
YOR394W	55.861	49.377	130.842
YKL125W	101.571	23.645	54.234
YCR036W	135.513	110.376	76.795
YCR044C	135.689	108.018	80.009
YDL039C	123.51	59.917	53.09
YLR057W	89.102	121.443	80.429
YKL202W	105.616	21.754	76.748
YPR160W-A	141.065	31.387	79.581
YLR320W	113.872	100.99	196.264
YGR122C-A	105.693	106.502	120.288
YFR014C	117.417	94.187	25.468
YOR264W	47.127	30.147	106.716
YMR247W-A	141.441	55.309	128.641
YNL042W-B	66.978	86.418	50.053
YJL222W	52.205	60.255	74.93
YGL121C	75.148	95.056	103.313
YLR452C	96.507	92.086	198.445
YBL029C-A	126.099	114.066	70.187
tE(UUC)E3	69.542	71.497	112.514
YGR184C	101.742	97.039	135.213
tE(UUC)E1	88.575	114.2	34.577
YOR366W	69.842	48.98	122.183
YJR160C	65.583	41.399	54.378
YNL275W	82.519	48.836	101.61
YAR015W	102.766	111.505	7.076
YPR046W	145.945	60.891	63.283
YOR086C	82.848	33.757	59.668
YDR020C	121.764	75.259	53.666
YGR053C	107.141	134.013	95.612
YPL213W	143.618	46.817	126.077
YNL082W	53.566	88.72	83.116
YKL115C	104.951	30.956	57.39
YLL051C	96.251	100.877	61.668
YCL013W	126.646	124.761	31.419
YOR279C	62.5	32.539	106.797
YPL264C	147.511	69.98	120.225
YOR224C	62.776	16.022	95.711
YGL060W	85.725	112.255	89.265
YCL046W	127.692	125.271	52.198
YLR079W	94.658	125.038	91.089
YLR408C	88.905	98.812	197.483
YGL123W	76.794	92.903	103.315
YBR221W-A	123.673	89.136	129.253
YDR079W	136.621	35.126	75.153
YMR268C	140.939	52.732	128.405
YER159C	69.223	72.119	112.501
YOR169C	80.402	14.634	93.024
YML070W	163.266	70.549	66.189
YGL100W	62.961	98.648	98.496
YBL061C	123.007	114.899	94.91
YGL203C	76.3	84.877	126.072
YMR140W	163.913	54.297	103.02
YHR175W-A	135.913	99.825	102.842
YPR072W	154.165	55.529	66.151
YMR108W	165.076	47.465	87.953
YCR091W	141.54	116.291	77.393
YLR401C	86.581	98.235	196.446
YDR244W	127.464	21.202	110.109
YER189W	47.337	83.172	97.322
YOR072W-A	84.608	34.935	49.076
YJL009W	97.023	94.41	21.745
YDL137W	113.896	25.091	75.003
YBR018C	127.687	108.644	57.892
YDR233C	126.404	16.251	109.54
YEL005C	99.141	117.971	26.16
YHL006W-A	141.144	112.72	29.193
YKL146W	101.045	27.563	55.89
YGL046W	78.04	120.22	78.215
YCR059C	140.962	108.194	88.547
YGL053W	79.107	117.682	84.593
YCR004C	130.4	120.157	30.464
YDR115W	147.367	25.156	84.789
YMR166C	160.753	44.959	108.102
YGR071C	106.661	125.342	109.432
YCR106W	149.637	124.654	81.682
YGL082W	80.36	117.606	99.264
YBL100C	120.993	127.48	105.147
YML038C	153.665	79.529	52.005
YPR054W	149.131	59.284	64.636
YER109C	90.468	83.674	101.708
tI(AAU)L1	100.579	105.537	199.18
YBR098W	143.716	103.183	110.603
YPL282C	156.737	89.437	122.325
YPR049C	146.392	61.025	64.575
YDL057W	129.388	48.982	60.55
YPR014C	145.583	82.285	32.945
tK(CUU)D2	104.5	25.203	120.323
YEL045C	78.597	120.38	54.956
tK(CUU)D1	118.969	12.634	138.36
YPL235W	146.916	65.072	126.194
YLR122C	90.851	119.466	103.259
YLR155C	95.034	117.869	153.795
YLR031W	85.269	114.799	59.597
YDL159W	108.02	12.453	75.701
YBL087C	121.464	119.51	105.509
YJL132W	59.395	80.294	79.892
YJR038C	83.76	72.572	40.292
YBR110W	146.837	102.313	114.478
YDR144C	130.858	28.603	95.363
YOR180C	77.483	26.358	92.056
YGL018C	105.909	110.357	55.635
YMR075W	136.722	38.921	63.371
YGR202C	105.175	76.889	121.805
YFL046W	113.689	81.131	47.967
YDR379W	112.751	19.762	131.405
YHR169W	135.165	103.295	94.757
YOR103C	84.156	24.154	65.24
YLR296W	98.551	108.887	198.314
YDR215C	124.87	28.85	107.893
YKL137W	101.269	31.986	63.272
YDR447C	103.322	23.948	120.735
YGL009C	113.494	112.282	41.869
YNL059C	60.416	88.559	68.697
YEL049W	77.889	122.531	58.407
YNL324W	64.472	25.832	115.655
