id	pdbindex
YJR140C	12890
YGR146C	8943
YOR033C	23281
YOR062C	23380
YAR035C-A	380
YDL114W	3176
YBR043C	1091
YNL237W	21356
YHR112C	10214
YDL238C	2723
YLL066W-A	14297
YLL066W-B	14295
YLR011W	14623
YJL195C	11643
YHR007C	9786
YHR126C	10264
YDL073W	3320
YDL004W	3551
YER121W	6519
YCR046C	2474
YLR059C	14804
YDR059C	3803
YDR379C-A	5131
YOR240W	24066
tD(GUC)G1	8437
tD(GUC)G2	8463
YEL007W	6000
YGR260W	9401
YKL204W	13083
YGR291C	9527
YDR040C	3738
YPL248C	24825
tM(CAU)C	2354
YMR233W	20593
YDR320C-A	4881
YDR393W	5185
YGL171W	7740
YPR194C	26514
YGR019W	8426
YMR194W	20417
YLL011W	14541
YNL080C	21899
YBL033C	763
YDR022C	3641
YPL266W	24742
tM(CAU)D	5016
YGR051C	8560
tE(UUC)G3	8458
tE(UUC)G2	8177
YJL188C	11657
YMR254C	20670
YLL057C	14337
YOR080W	23445
YPL060C-A	25543
YGL062W	8148
YNL229C	21383
YER169W	6763
YOL016C	23085
YOR226C	24018
YEL025C	5923
YNL186W	21525
YMR040W	19815
YDR077W	3867
YBL063W	652
YMR146C	20230
YHR214C-C	10641
YHR214C-B	10637
YHR214C-E	10647
YHR214C-D	10646
YKR064W	14102
YCR060W	2503
YPL089C	25423
YBR016W	986
YDL139C	3087
YDR246W	4573
YOR288C	24199
YDL247W-A	2671
YDL240C-A	2709
YCR028C	2397
YCLX02C	2119
YHR165W-A	10418
YML054C	19447
YHR089C	10110
YMR168C	20310
YJR028W	12462
YLL035W	14423
YCR006C	2300
YER007W	6045
YOR141C	23677
YPL280W	24687
YBL106C	470
YGL044C	8207
YER107C	6462
YBR038W	1072
YJR011C	12422
YDR117C	4034
YJL021C	12302
YER076W-A	6341
YGR259C	9399
YEL047C	5846
YKL093W	13505
YPR016C	25848
YLR037C	14730
tT(CGU)K	13068
YLR157C	15231
YDL055C	3376
YBL020W	812
YEL043W	5858
YML009C	19617
YML072C	19368
YDR142C	4146
YFL044C	6934
YBL113W-A	450
YKL019W	13780
YJL130C	11842
YJL078C	12089
YNL173C	21563
YBL085W	576
YGR200C	9176
YBR116C	1394
YIL021C-A	11281
YLR302C	15749
YKL031W	13739
YIL127C	10889
YDR082W	3886
YLR067C	14823
YDR348C	5006
YER044C-A	6192
YKL182W	13181
YKL165C-A	13246
YDR445C	5369
YKL018C-A	13781
YKL051W	13658
YLR294C	15728
YPL167C	25133
YLR223C	15452
YIR012W	11412
YLR363C	15990
YPR038W	25957
YJL179W	11682
YEL077W-A	5719
YDR179C	4302
YML089C	19296
YLR431C	16286
YKR046C	14023
YGR204W	9189
YJR005W	12398
YBR200W-A	1691
YBL098W	525
YDL095W	3241
YMR030W	19777
YER030W	6141
YBR201C-A	1694
YHR041C	9923
YJR072C	12647
YEL030C-A	5903
YKR039W	14006
YGL003C	8361
YPL009C	25738
YOR118W	23589
YLR205C	15390
YDR268W	4673
YGL192W	7660
YFL059W	6868
YML094W	19279
YKR006C	13876
YDL117W	3164
YMR131C	20182
YJR054W	12578
YLR362W	15986
YMR293C	20826
YPR138C	26286
YJL214W	11559
YIL005W	11347
YIL105C	10991
YDR146C	4163
YNL119W	21748
YML126C	19154
YLR189C	15349
YIL150C	10778
YPR141C	26297
YNR019W	22277
YGR158C	8985
YLR349W	15940
YKL077W	13558
YFR046C	7331
YBR212W	1743
YJR109C	12767
YLR254C	15573
YGR085C	8671
YPL105C	25371
YIL058W	11148
YJR114W	12782
YJR141W	12897
YGR145W	8940
YLR354C	15958
YJR094C	12714
tD(GUC)O	23638
YKL177W	13203
YLR301W	15746
YGR098C	8744
YGL154C	7805
YAL009W	267
tK(UUU)P	26202
tK(UUU)O	23371
tX(XXX)D	4966
tK(UUU)L	16035
tK(UUU)K	14132
YHR119W	10239
YAL042C-A	118
YCRX10W	2518
YDL215C	2809
YGR167W	9040
YJL059W	12155
YKL099C	13486
YDR315C	4850
YBR134W	1454
YBR161W	1569
YNL002C	22197
YLR394W	16101
YNL104C	21796
YPL145C	25221
YIR041W	11508
YIL118W	10934
YNL151C	21640
YPL190C	25036
YNR066C	22453
YGL214W	7555
YHR006W	9781
YAL026C-A	186
YGR018C	8423
YMR232W	20590
YFR005C	7154
YNL083W	21888
YPR147C	26315
YOR267C	24141
YGR038C-A	8508
YGR038C-B	8504
YHL036W	9598
YDR457W	5413
YOR367W	24547
tR(UCU)B	1257
YOR385W	24625
YGR185C	9108
YJL189W	11656
YMR238W	20608
YER168C	6758
YPL265W	24747
YOR227W	24023
YOR081C	23450
YEL026W	5918
YGR050C	8559
YLL050C	14364
YDR392W	5182
YGL172W	7737
YNL274C	21187
YDR021W	3639
YGL063W	8142
YPL212C	24968
YMR005W	19667
YPL023C	25674
YCL020W	2226
snR59	25011
YOL157C	22541
YGL149W	7825
YPR095C	26109
YOR310C	24289
YHR024C	9861
YOL131W	22640
YDR188W	4338
YAL027W	185
YGL236C	7484
YHR133C	10286
YDR017C	3625
YOL080C	22856
YAR061W	432
YOL037C	23008
YOL117W	22691
YNL054W-B	21988
YNL054W-A	21984
YBR283C	1984
YIL090W	11043
tG(GCC)O1	22947
YML104C	19235
YDR371C-A	5103
YBR183W	1638
YNR044W	22354
YDR195W	4363
YOL048C	22976
YNL256W	21276
YGR126W	8866
YGR072W	8644
YER106W	6460
YDR347W	5003
YML039W	19513
YNL295W	21099
YCR007C	2307
YCR107W	2668
YDR016C	3621
YEL004W	6009
YPR057W	26009
YLL032C	14435
YJL020C	12305
YBR039W	1077
YPR094W	26105
YDR116C	4030
YGR258C	9392
YPL234C	24873
YDL056W	3372
YOR209C	23968
YKL117W	13415
YPR017C	25850
YPL119C-A	25311
YEL044W	5854
YML071C	19375
YHR130C	10274
YLR030W	14691
YDR122W	4057
YER120W	6517
YBR042C	1087
YOL062C	22917
YNL234W	21366
YLR467W	16434
YJL194W	11644
YKR099C-A	14251
YOL015W	23090
YDR159W	4212
YHR111W	10211
YGL071W	8120
YPR170W-B	26430
YGR294W	9535
YDL070W	3328
YPR170W-A	26430
YCR047C	2476
YGL257C	7401
YNL261W	21256
YGL138C	7872
YOR241W	24070
YOR329W-A	24373
YDL038C	3430
YBR202W	1699
YLR056W	14793
YKL205W	13077
YER033C	6153
YPR039W	25957
YKL110C	13433
YML100W-A	19254
YPR040W	25959
YHR040W	9921
YML057W	19436
YDR178W	4300
YKR038C	13999
YLR432W	16291
YJR004C	12392
YIR027C	11468
YDR071C	3842
YJL115W	11897
YJR073C	12649
YGL004C	8357
YLR204W	15389
YKL158W	13284
YKR007W	13877
YDL096C	3238
tK(CUU)E1	5985
YBL068W-A	629
tK(CUU)E2	6586
YBL099W	521
YMR132C	20185
YPL008W	25744
YOR126C	23615
YDL116W	3169
YMR046W-A	19840
YLR435W	16297
YOR119C	23593
YIL047C-A	11185
YLR409C	16156
YNL187W	21521
YMR141C	20214
YMR101C	20052
YBL062W	656
YPL088W	25428
YJL046W	12210
YMR041C	19817
YLR078C	14856
YMR267W	20718
YDR078C	3869
YCR061W	2507
YMR109W	20091
YOR199W	23935
YDR232W	4521
tI(AAU)P2	26424
YDR245W	4571
YHR088W	10108
YGR276C	9463
YBR017C	990
YKR014C	13905
YDL138W	3093
YCR029C	2400
YOR289W	24201
YPR162C	26398
YLR178C	15311
YHR175W	10450
YGR166W	9037
YDL161W	3001
YKL050C	13662
YOR013W	23208
YPR079W	26062
YDL212W	2821
YJR055W	12582
YGL099W	8005
YFL030W	6999
YIL119C	10929
YNL150W	21643
YPL193W	25027
YNL105W	21793
YNL005C	22188
YLR412W	16182
YGL217C	7544
YDR314C	4847
YJL144W	11797
YBR012W-B	970
YBR012W-A	966
YPR105C	26140
YKL098W	13489
YJR139C	12884
YBR133C	1451
YBR162C	1573
tE(UUC)L	15878
YMR141W-A	20216
tP(UGG)O2	23423
YJL133W	11826
YFL002W-B	7122
YBL084C	582
YDR143C	4150
YJL079C	12085
YBR111C	1368
YOL166W-A	22499
YFL047W	6927
YGR201C	9180
YDR272W	4683
YNL172W	21571
YNL058C	21976
YDL099W	3232
YPL160W	25160
YKL136W	13347
YGR100W	8757
YOL083C-A	22827
YGR289C	9524
YNL023C	22123
YDR349C	5011
YIR011C	11410
YDR214W	4451
YIL126W	10894
YLR201C	15384
YLR295C	15728
YBL005W-A	889
YBL005W-B	893
YHR168W	10426
YOR064C	23387
YOL154W	22564
YNL318C	21023
tY(GUA)F2	7265
YGL235W	7485
tY(GUA)F1	7179
YCL021W	2223
YOL081W	22845
YOL036W	23010
YGL148W	7828
YBR159W	1563
YOR031W	23273
YPR204C-A	26537
YDR189W	4343
YAL028W	182
YPR092W	26100
YGL160W	7777
YBR282W	1982
YOR079C	23442
YCL030C	2188
YHR132C	10282
YMR083W	19985
YLR188W	15343
YDR194C	4358
YOL049W	22973
YDR014W	3614
YJR108W	12762
YBR180W	1626
snR68	10848
YIL093C	11031
YML007C-A	19620
YNL297C	21092
YGL019W	8291
YKL076C	13560
YDR466W	5457
YNL331C	20977
YLR397C	16111
YIL009W	11335
YPL054W	25575
YFR045W	7329
YDR194W-A	4360
YIL151C	10772
YIL002C	11358
YGR159C	8988
YBR213W	1747
YPL102C	25383
YLR255C	15576
YFR032C	7289
YNL118C	21752
YPR031W	25928
YGL228W	7511
YJR117W	12789
YGR144W	8936
YGR111W	8807
YGL155W	7803
YBR196C-A	1673
YBR196C-B	1674
YHR021W-A	9843
YIL030W-A	11245
YLR357W	15969
YCLX12W	2270
YJR095W	12725
YER127W	6544
YOL063C	22912
YLR324W	15844
YDR118W-A	4040
YLR466W	16422
YJL193W	11648
YJR140W-A	12886
YBL015W	835
YEL027W	5916
YOL014W	23094
YDR123C	4062
YHR110W	10209
YBR041W	1084
YNL235C	21364
tD(GUC)I2	11327
tD(GUC)I1	11303
YOR394W	24660
YKL125W	13392
YCR036W	2442
YCR044C	2469
YDL039C	3430
YLR057W	14797
YKL202W	13102
YPR160W-A	26387
YLR320W	15832
YGR122C-A	8845
YFR014C	7190
YOR264W	24133
YMR247W-A	20653
YNL042W-B	22038
YJL222W	11532
YGL121C	7936
YLR452C	16365
YBL029C-A	774
tE(UUC)E3	6689
YGR184C	9100
tE(UUC)E1	6068
YOR366W	24545
YJR160C	12977
YNL275W	21184
YAR015W	335
YPR046W	25977
YOR086C	23464
YDR020C	3636
YGR053C	8565
YPL213W	24965
YNL082W	21893
YKL115C	13420
YLL051C	14361
YCL013W	2254
YOR279C	24182
YPL264C	24751
YOR224C	24016
YGL060W	8156
YCL046W	2148
YLR079W	14858
YLR408C	16152
YGL123W	7930
YBR221W-A	1778
YDR079W	3870
YMR268C	20721
YER159C	6697
YOR169C	23797
YML070W	19383
YGL100W	8002
YBL061C	658
YGL203C	7601
YMR140W	20211
YHR175W-A	10451
YPR072W	26045
YMR108W	20084
YCR091W	2605
YLR401C	16131
YDR244W	4567
YER189W	6848
YOR072W-A	23418
YJL009W	12344
YDL137W	3098
YBR018C	995
YDR233C	4524
YEL005C	6007
YHL006W-A	9740
YKL146W	13320
YGL046W	8203
YCR059C	2502
YGL053W	8180
YCR004C	2294
YDR115W	4029
YMR166C	20302
YGR071C	8640
YCR106W	2668
YGL082W	8087
YBL100C	519
YML038C	19521
YPR054W	25997
YER109C	6467
tI(AAU)L1	15754
YBR098W	1330
YPL282C	24679
YPR049C	25989
YDL057W	3368
YPR014C	25838
tK(CUU)D2	5369
YEL045C	5852
tK(CUU)D1	5068
YPL235W	24871
YLR122C	15066
YLR155C	15224
YLR031W	14693
YDL159W	3011
YBL087C	566
YJL132W	11830
YJR038C	12512
YBR110W	1364
YDR144C	4154
YOR180C	23844
YGL018C	8293
YMR075W	19944
YGR202C	9182
YFL046W	6930
YDR379W	5127
YHR169W	10430
YOR103C	23527
YLR296W	15730
YDR215C	4453
YKL137W	13346
YDR447C	5374
YGL009C	8329
YNL059C	21972
YEL049W	5842
YNL324W	21006
YPL161C	25154
YJL063C	12136
YMR149W	20237
YPL021W	25686
YIR010W	11407
YDR331W	4924
YOR293W	24229
YJL114W	11901
YKR044W	14019
YER139C	6616
YLR433C	16294
YMR068W	19928
YDR066C	3828
YLR157C-A	15246
YLR157C-C	15248
YLR157C-B	15242
YGR239C	9313
YFL068W	6853
YJL041W	12238
YER032W	6147
YJR070C	12644
YDL097C	3236
YGL005C	8354
YBL111C	453
YHR043C	9930
YDL111C	3191
YMR133W	20188
YPL007C	25749
YDR495C	5543
YLR104W	14978
YKL159C	13282
YKR004C	13869
YDR058C	3800
YDR507C	5592
YML096W	19275
YKR075W-A	14135
YHR192W	10518
YBR101C	1334
YLR396C	16107
YPL052W	25581
YIL003W	11353
YDR240C	4553
YBR245C	1865
YBR163W	1578
YDR465C	5452
YKL079W	13549
YFR044C	7325
YBR210W	1737
YPL103C	25380
YIL103W	10999
YLR256W-A	15588
YFR033C	7293
YJR096W	12727
YNL037C	22061
YAL010C	265
YJR116W	12786
YJL013C	12325
YGR143W	8927
YGR112W	8810
YLR256W	15581
YGL229C	7505
YLR356W	15965
YKL057C	13639
YCRX12W	2541
YJR056C	12588
YHR174W	10448
YDL211C	2824
YER067W	6299
YOR012W	23207
YGR161C	8992
YDL162C	2999
YHR062C	9991
YPL069C	25510
tL(CAA)L	15541
YDL213C	2819
YKL195W	13127
YGL216W	7546
YDR317W	4870
YFL031W	6995
YDR478W	5494
YJR138W	12878
YKL179C	13197
YKL097C	13491
YJL145W	11795
YOL164W-A	22502
YIL046W-A	11191
YBR132C	1446
YPL192C	25029
YNL106C	21789
YNL004W	22192
YOR378W	24595
YFR015C	7195
YDR320C	4878
YMR230W	20580
YNL067W-A	21941
YIL092W	11034
YAR009C	320
YLR321C	15838
YBR004C	935
YPR199C	26535
YLR376C	16030
YGR052W	8562
YDR426C	5308
YCR043C	2467
YJR161C	12978
YOR278W	24180
tS(AGA)H	9810
YOR365C	24543
tS(AGA)J	12552
YNL085W	21881
YGL061C	8153
YCL012W	2255
tS(AGA)A	360
YPL210C	24974
tS(AGA)B	899
tS(AGA)E	5887
YAR014C	331
YLL052C	14356
YOR087W	23471
YGL234W	7489
YOR347C	24465
YPR093C	26103
YBR126W-A	1427
YOL082W	22833
YAL029C	175
YDR452W	5392
YKL112W	13429
YDR421W	5291
YOR065W	23390
YCL026C	2204
YGR161W-A	8999
YGR186W	9112
YDR294C	4767
YBR267W	1926
YDR543C	5713
tD(GUC)J4	12587
tD(GUC)J3	12253
tD(GUC)J2	12215
tD(GUC)J1	11914
YOL115W	22699
YGR161W-B	9003
YBR181C	1629
YNL131W	21702
tN(GUU)P	26284
YEL020W-A	5949
YLR159C-A	15256
YIL135C	10845
YBL005W	883
YDR406W-A	5232
YDR193W	4354
YOR243C	24076
YKL067W	13604
YDR041W	3744
YGL047W	8198
YMR165C	20297
YCR058C	2498
YCR005C	2297
YCR105W	2667
YGR296W	9545
YBL101C	498
YPR055W	26002
YER108C	6466
YLR032W	14697
YHR139C-A	10305
YDR114C	4028
YLL030C	14445
YDR370C	5101
YDL185C-A	2917
YLL065W	14308
YPR015C	25844
YDR488C	5524
YDL050C	3393
YLR154C	15180
YGR256W	9385
YEL042W	5863
YLR123C	15066
YEL020C	5953
YOL060C	22924
YPR179C	26453
YIR018C-A	11425
YNL208W	21453
YNL232W	21375
YBR070C	1204
YLR014C	14631
YDL076C	3306
YOR225W	24017
YDR120C	4049
YER126C	6542
YNL121C	21743
YLR465C	16418
YJL192C	11650
YHR117W	10231
YBR040W	1080
YGR254W	9377
YEL020C-B	5949
YPL258C	24772
YCR045C	2472
YLR054C	14784
YKL203C	13093
YHR017W	9823
YPL175W	25102
YDL036C	3440
YCL069W	2075
YJL113W	11906
YLR434C	16296
tE(UUC)G1	8031
YML059C	19425
YBR131C-A	1440
YGL219C	7541
YDR063W	3822
YKR045C	14021
YIL014C-A	11305
YGR238C	9309
YFL067W	6849
YLR423C	16229
YER035W	6160
YMR072W	19938
tK(CUU)G3	9127
tK(CUU)G2	7745
tK(CUU)G1	7619
YPR128C	26246
YLR105C	14979
YML091C	19292
YHR148W	10332
YHR191C	10517
YDL110C	3193
YDL098C	3234
YMR069W	19930
YLR202C	15385
YIR025W	11462
YGR225W	9266
YGL006W	8349
YLR299C-A	15740
YKR005C	13873
YKR067W	14112
YMR143W	20219
YCR063W	2511
YOR168W	23795
YOR029W	23264
YNL189W	21514
YAL068W-A	0
YMR043W	19823
YFR024C-A	7249
YCL047C	2142
YML077W	19338
YER068W	6302
YER013W	6075
YMR269W	20724
YKL053C-A	13653
YGL122C	7933
YJL008C	12346
YDL018C	3510
YGR054W	8569
YPR160W	26388
YGL241W	7468
YBL060W	663
YER188W	6846
YHL039W	9589
YDR320W-B	4881
YBR019C	1000
YKL056C	13643
YCRX15W	2558
YKL065W-A	13606
YHR177W	10459
YGR160W	8989
YDL163W	2998
YNL278W	21174
YDR046C	3763
YCL057C-A	2102
YJR057W	12593
YHR164C	10398
YGL011C	8324
YDL245C	2689
YDR316W	4853
YFL032W	6994
YLR377C	16033
YNL107W	21785
YGR161W-C	8995
YCL044C	2149
YDL210W	2834
YDR479C	5496
YAL059W	69
YNL007C	22182
YPL148C	25208
YKL096W	13497
YJR137C	12866
YMR021C	19750
YMR074C	19941
YDR378C	5123
YBR113W	1377
YER140W	6619
YBL086C	569
YNL069C	21933
YGL191W	7664
YDL158C	3012
YFL041W	6944
YJL168C	11711
YDR145W	4159
YFL009W	7079
YDR330W	4921
YPR146C	26314
YJL062W	12141
YNL325C	21004
YLR297W	15732
YBR011C	960
YLR279W	15693
YLR363W-A	15991
YDR057W	3797
YDR216W	4458
YIL120W	10925
YKL130C	13365
YNL021W	22133
YOR346W	24461
YPR090W	26093
YAR031W	370
YGR095C	8726
YCL027W	2199
YGR113W	8813
snR3	12832
snR5	24179
snR4	6564
snR6	15017
snR9	23310
snR8	24159
YOR066W	23395
YPL091W	25415
YIR021W-A	11451
YDR295C	4771
YAL033W	161
YBR284W	1990
YNR036C	22333
YNR049C	22371
YDR192C	4352
YOL112W	22709
YAL063C-A	40
YHR032C-A	9895
YJR159W	12974
YOL083W	22827
YNL251C	21291
YBR266C	1925
YBL004W	908
YER145C-A	6639
YBR164C	1581
YIL153W	10766
YHR074W	10039
YBR211C	1738
YIL102C	11003
YLR399C	16125
YGR277C	9466
YFR030W	7274
tA(AGC)M1	19756
YBR131W	1441
tA(AGC)M2	20651
YAL011W	261
YDL155W	3019
YKL078W	13554
YIL055C	11160
YPL053C	25579
YBR179C	1621
YKR036C	13993
YPL155C	25180
YJR097W	12729
YLR351C	15944
YPR116W	26181
YGR142W	8920
YPL100W	25388
YLR257W	15603
YJR111C	12777
YIL030C	11250
YBL026W	787
YIL116W	10941
YKL032C	13736
YDR121W	4052
YER125W	6537
YNL233W	21371
YPL211W	24971
YDL077C	3301
YOR222W	24012
YEL021W	5947
YOL061W	22920
YER152C	6661
YLR015W	14636
YHR116W	10228
YPL259C	24767
snR7-L	9253
YLR008C	14616
YHR210C	10586
YLR464W	16418
YJL191W	11652
YMR219W	20533
YLR055C	14788
YKL200C	13107
YOR198C	23933
YOR039W	23306
YDL037C	3434
YNR076W	22498
YFR016C	7202
YIL077C	11085
YLR322W	15840
YLR334C	15878
YGR109C	8786
YOR379C	24596
YIL095W	11024
YLR341W	15900
YHR028C	9876
YJR162C	12978
YNL084C	21885
YGL066W	8131
YMR173W-A	20333
YHL043W	9574
YOR364W	24541
YOR386W	24629
YAR042W	384
YPR198W	26532
YHL038C	9593
YOR051C	23345
YLL053C	14355
YDR425W	5306
YBL007C	874
YOR331C	24382
YML076C	19342
YER174C	6792
YCL048W	2140
YMR142C	20215
YDR119W-A	4046
YDL182W	2932
YER069W	6307
YMR091C	20015
YER012W	6070
YHR003C	9765
YBL067C	635
YLR168C	15284
YDL019C	3503
YDL135C	3102
tP(UGG)O1	23096
YCR093W	2621
tP(UGG)O3	24455
YMR273C	20739
YGR273C	9452
snR36	23856
tG(GCC)D2	4650
YDR168W	4246
YGL080W	8092
YIR020W-A	11444
YAL032C	163
YLR344W	15923
YGR295C	9538
YBR069C	1200
YKL070W	13587
YMR164C	20291
YMR251W	20661
YCR104W	2666
YFL021C-A	7036
YLR307C-A	15778
YDR113C	4026
YLL031C	14441
YPR012W	25832
YLR033W	14703
tM(CAU)E	5914
YLR088W	14918
YBR021W	1010
YBR230C	1805
YGR255C	9380
tM(CAU)M	20260
YDL051W	3393
YKL074C	13565
YBL102W	494
tM(CAU)P	25341
YPL237W	24865
YLR120C	15059
YCL001W-B	2282
YCL001W-A	2281
YMR077C	19958
YHR022C	9844
YNL068C	21938
YJR036C	12508
YJL169W	11709
YBL002W	918
YDL195W	2882
YFR052C-A	7351
YBR112C	1374
YBL081W	590
YFL040W	6948
YNL326C	21000
YFL008W	7087
YDR337W	4957
YJL061W	12146
YBR219C	1771
YDR217C	4467
YKL131W	13363
YDR441C	5354
YPL094C	25404
YNL020C	22137
YOR101W	23525
YLR290C	15719
YPL163C	25148
YIL123W	10912
YOL052C-A	22957
YER020W	6106
YBL052C	686
YPR161C	26394
YOR291W	24221
YJL112W	11917
YFL066C	6850
YNL193W	21494
YMR059W	19897
YDR062W	3819
YML058W	19433
tL(UAA)B2	1140
YJL043W	12225
YER034W	6158
YJR076C	12656
YHR190W	10515
YLR106C	14997
YKL157W	13287
YKR002W	13862
YBR003W	932
YDR398W	5201
YCR095W-A	2633
YPR129W	26249
YDL113C	3179
YMR135C	20193
YGL007W	8341
YGL226C-A	7520
YML090W	19296
YBR130C	1437
YHR082C	10084
YBR247C	1872
YLR185W	15330
YJL210W	11579
YIL001W	11363
YDR235W	4533
YLR398C	16118
YIL154C	10763
YPL149W	25207
YIL101C	11007
YBR165W	1584
YCR087C-A	2582
YHR075C	10042
YKL004W	13846
YOR208W	23964
YGR076C	8649
YFR031C	7281
YPL154C	25184
YFR012W-A	7183
YJR110W	12773
YIL149C	10785
YPL101W	25385
YLR258W	15608
YBR178W	1618
YNR015W	22252
YJR098C	12732
YLR350W	15942
YCRX14W	2554
YHR176W	10454
YGR163W	9030
YKL022C	13766
YLL067C	14290
YKL055C	13645
YDL164C	2996
YJR050W	12562
YOR156C	23753
YJR018W	12438
YMR326C	20948
tA(AGC)L	15598
YNL006W	22185
YGL210W	7562
YPL194W	25023
YDL244W	2697
YAL058W	71
YDR319C	4875
YFL033C	6988
YKL095W	13499
YJR136C	12860
YOL099C	22759
YIL094C	11028
YJL098W	11991
YLR451W	16359
YFR017C	7209
YLR342W-A	15916
YML108W	19224
YIL076W	11088
YNR077C	22498
YOL044W	22989
YMR310C	20906
YLR323C	15841
YBL038W	738
YOR085W	23459
YGL067W	8127
YDR424C	5303
YGR189C	9129
YHL042W	9576
YOR332W	24382
YIR003W	11378
YPL250W-A	24815
YOR050C	23343
YOR363C	24537
YNL087W	21872
YIL128W	10885
YDR396W	5197
YGR114C	8815
YLR318W	15820
YOR341W	24421
YOR067C	23399
YNL024C-A	22117
YDR296W	4775
YGL232W	7499
YPR091C	26098
YGR141W	8917
YAR030C	368
RNA170	20449
YGR094W	8722
tD(GUC)L1	15138
tD(GUC)L2	15872
YNR048W	22368
YDR191W	4350
YMR243C	20625
NME1	22116
YBR265W	1923
YBR287W	1999
YNR037C	22334
YOL113W	22705
YCL024W	2215
YJR158W	12971
YOL084W	22822
tG(GCC)D1	2831
YGL145W	7837
YHR137W	10297
YNL283C	21156
YNL252C	21288
YBR187W	1651
YBR289W	2007
YMR198W	20435
YOR089C	23475
YCR003W	2292
YCR103C	2664
YMR316C-B	20929
YMR316C-A	20926
YOR020W-A	23238
YDR511W	5604
YMR163C	20285
YDL177C	2947
YBR068C	1195
YPL027W	25663
YDR043C	3750
YGL041C	8212
YHR212W-A	10622
YEL008W	5995
YEL015W	5969
YBL103C	491
YEL040W	5872
YHR086W-A	10105
YBR020W	1005
YLR418C	16199
YPR013C	25833
YDR112W	4023
YER059W	6261
YPL230W	24895
YLR271W	15650
YAR043C	381
YBL025W	788
YOL066C	22901
YDR463W	5439
YDR126W	4071
YGL167C	7752
YHR115C	10225
YOR223W	24014
YER124C	6530
YEL022W	5941
YIL053W	11165
YOL019W	23073
YER153C	6663
YLR463C	16417
YJL190C	11654
YMR218C	20524
YLR052W	14779
YNL339W-B	20949
YNL339W-A	20950
YPL256C	24795
YDL034W	3448
YKL201C	13105
YLL049W	14366
YOL026C	23042
YLR366W	15995
YDL069C	3331
YPL216W	24954
YHR211W	10598
YMR280C	20772
YDR236C	4535
YJL042W	12231
YER037W	6167
YNL301C	21072
YDR333C	4933
YJL111W	11921
YIL066C	11133
YNL192W	21500
YLL010C	14544
YMR058W	19894
YDR061W	3814
YJR112W-A	12780
YOR290C	24209
YKL114C	13422
YML024W	19567
YML093W	19283
YJR077C	12659
YHR197W	10534
YDL112W	3186
YBR002C	929
YDR276C	4691
YLR200W	15382
YKL154W	13298
YLR035C-A	14718
YOL153C	22569
YDL074C	3314
YLR107W	15013
YLR121C	15063
YDL052C	3390
YKR061W	14091
YJL178C	11683
YML075C	19349
YDL183C	2927
YIL045W	11198
YPL278C	24693
YML002W	19645
YNL265C	21234
YMR118C	20119
YCL049C	2135
YBL066C	642
YGL107C	7985
YGR271C-A	9450
YDR169C	4250
YLR410W-B	16172
YLR410W-A	16168
RUF4	6471
YGR272C	9451
YHR099W	10161
YMR272C	20734
YPR108W	26149
YKL132C	13362
YKL054C	13649
YCRX17W	2585
YHR171W	10437
YGR162W	9025
YDL165W	2993
YKL189W	13145
YDR520C	5628
YKL089W	13522
YER175W-A	6795
YLR325C	15847
YKL023W	13762
YHL045W	9569
YJR051W	12565
YKL094W	13502
